zip_2,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,revol_bal,revol_util,mort_acc,credit_hist,credit_line_ratio,balance_annual_inc,fico_avg_score,inst_amnt_ratio
00,0.40451991747794525,5.03259141632185,1.4206272622267315,6.8741941676494305,3.0925129528647677,0.6030226891555273,0.46120238052084034,0.7507571935295483,2.3817487845545915,12.40834272136731,5844.465412989999,20.831566955420847,1.2649110640673518,2486.885174817541,0.15697549433790015,0.10646396731323196,22.472205054244224,0.0038641298047879455
01,0.44470687980383944,4.632197317252917,1.3175698365406776,6.5694782871761905,3.5941068584619447,0.6229333597484609,0.49824185916319197,0.8414782137097548,2.1353379610552747,7.875985440821974,24584.72551542946,24.152162365074854,2.068147289849608,2640.913938599119,0.16848565558902007,0.10381430559747604,32.978823678990274,0.004293259863622766
02,0.4296807676504012,4.607725274749145,1.313785146335868,6.546730211144521,3.6358648813001073,0.6388544780282978,0.4979672862637766,0.8449716544661182,2.180385348501576,7.939495126064517,28206.71583484131,24.293759379498166,1.9600207753367282,2636.100567474559,0.17512637158484634,0.10484831699564266,31.751996149708987,0.004170961268103116
03,0.429194956613388,4.551299306667904,1.297704256642336,6.45047282522904,3.612823279322143,0.6185854032707955,0.5207322375837173,0.8411115998908157,2.110311027936923,7.899455703999087,23648.63711409409,24.307120719185857,2.1128702694003367,2495.797247275275,0.16875691696608755,0.10860976331224599,32.43159266474644,0.004212982570375868
04,0.4132202331955208,4.630173373715612,1.2439872739155908,6.153565553834285,3.7305903595496837,0.6526899518700882,0.49344013769846196,0.8467001247561456,2.0871970641134143,8.167054382123924,16249.913278168726,24.393576683924774,1.9659409146516997,2648.224690133098,0.1690293184175831,0.11676398675447704,30.65338766747131,0.004088206124441669
05,0.4216433515545393,4.517421795229847,1.2791090327678074,6.361968816915746,3.5860393977910627,0.6288426130229078,0.45970894395732564,0.8731850350625477,2.196692327862398,8.300264991496652,15165.882791410135,24.130530197150264,2.2391014477758957,2540.324974899569,0.16382377660386055,0.11158069876308165,31.131378709665366,0.004269003645731672
06,0.4291580887907948,4.582204529883679,1.3019521810678343,6.477147958939791,3.586053630285187,0.6456800213287972,0.5471347950269975,0.8364011441873828,2.315335880076587,8.011279379631569,43889.08071888975,24.113515050151097,2.0266403419072425,2776.90906348654,0.175747981014098,0.11021806300700407,31.666963903248174,0.004222083636191266
07,0.42767970115118326,4.579362858994809,1.3051539276923627,6.495732271693193,3.6102671754488065,0.6647815313907827,0.5541657347407413,0.8212773790245218,2.4739422940616933,8.133076480545379,27962.90742969512,24.00802270399894,1.8635315066706646,2773.6599674640515,0.1789448221175167,0.10895197748477824,31.126174316245613,0.004253462151591115
08,0.44157353125888243,4.605924926343547,1.3174703772584986,6.538548891687792,3.5837594847971617,0.6561270158404922,0.5201868875730216,0.8248080641531971,2.3519800025938067,8.03995862310034,24748.985479940555,24.2229719983993,2.060890023004964,2780.055547814871,0.17435831796816342,0.1088184212371216,31.240212877898244,0.00435238525857855
09,0.38014579963067907,5.007497004585578,1.4189583742350582,7.169348080851304,2.67080794627487,0.6671643648820611,0.4244967849901263,0.7974473839050998,2.7294619723858626,8.183503888004747,13041.6963493408,27.44949031033613,1.5470888608096256,2144.3874057129774,0.15576080693703706,0.11580006364480354,35.32311114174244,0.003427859147948924
10,0.41018858609714054,4.58172380321226,1.3143625699379056,6.5037560623607655,3.6250821584832726,0.6279972325334497,0.5836790568626485,0.8164349165383569,2.6139395390315565,8.122646678343386,27753.600365809023,24.42041978397951,1.3781007392595335,2713.5847046984745,0.185908649416436,0.10921972044685603,30.80995428382099,0.004074765539188384
11,0.41396005780196077,4.583928016969423,1.3092928919216933,6.484273411281333,3.597149487007453,0.6730244070624762,0.5275427388806018,0.82673329722517,2.633427759598374,8.16725237542365,26840.444683933492,24.015702200199907,1.470415974243293,2666.1951669430077,0.18604514590661336,0.10923215746334719,30.81615002558438,0.00414073270551599
12,0.44901733057560134,4.599589991783727,1.3066764225765484,6.509714292940964,3.5577191482685486,0.6653546073455501,0.49234453257473865,0.8385981384625558,2.1937435898980473,8.21461449028239,19677.939358622625,23.906676100339947,1.8982143728352945,2541.973221514921,0.1661946192426229,0.11090934607341961,31.7518354170353,0.00436530583793275
13,0.443550458313121,4.52659581894502,1.2919179163997274,6.436117675438479,3.4941889971041387,0.6551216603073754,0.4836675513130046,0.8437313740584942,2.264764897680881,8.061198368586957,14750.57252706904,23.956485661589582,1.8006216769161212,2491.4766701764906,0.1683937019955946,0.11390891066975276,31.35271627357,0.0043765383984799835
14,0.4368278393277098,4.5574482399020635,1.3032503442443444,6.4744610895912675,3.5682040439437097,0.6562834825662707,0.48383705428918156,0.8452996813922816,2.2499529896302937,8.141549142864374,17188.016961250454,23.91107182194087,1.70730548316942,2531.465599188394,0.1683972513385257,0.11319973939248723,31.980728694686125,0.0043040070074029
15,0.4485299369375008,4.518272151867282,1.2914822976836784,6.420248139305923,3.6116065007980835,0.6525946229054728,0.5008169199134452,0.8467504648443809,2.300788545600661,8.218225566546737,18318.765732487063,23.937383392268273,1.7031626933609694,2651.867380159778,0.17250115418746748,0.11376100892877242,31.1284998550344,0.004395288795534542
16,0.45265044779252833,4.422363447197299,1.2674864570860966,6.276646876053559,3.5624199972150987,0.6433175419334752,0.5137820263872241,0.855510630716869,2.2801512173358285,8.233103226465495,17527.621729549075,23.729197977689868,1.7620995700127178,2575.4091427407234,0.1694174647423967,0.11388513696998263,30.893065214147764,0.004460296288684361
17,0.4557962053118416,4.535458207413301,1.3040965105853515,6.450695321220331,3.6008361695006816,0.6163647662747326,0.478960214863331,0.8383736482376298,2.188407393021747,8.187113535189933,21039.77174798009,23.896053506702064,2.040099224842565,2491.273473820566,0.16864207943218779,0.11422715541672629,31.03925676661613,0.004464627143377457
18,0.4514634112051403,4.545659947681915,1.3026899538627486,6.463870260001011,3.5635079368656535,0.6393487243462624,0.5160531542302955,0.838601427884625,2.3174575626799534,8.212260608312523,23577.262806767554,23.88978631088788,2.044615643359855,2707.9436921082024,0.17011941411630258,0.1128563666949815,31.51171488633156,0.004428002072134449
19,0.4448057464391653,4.600821624070751,1.3205514436752457,6.566463173795132,3.6030427036508867,0.6426053072562703,0.5130701376209027,0.8281788872308258,2.3548568744919267,8.122157425738559,30005.81216596755,24.287775617281877,2.017127691871282,2677.6053148909405,0.17648879093698083,0.11108195687850349,31.42159517217629,0.004340914748880981
20,0.4403175305928196,4.667934778901566,1.333291629985393,6.651383270509128,3.6255107989829223,0.6266931034300071,0.4958374683807899,0.8113257587657489,2.481497071013995,8.016874871692231,27751.1249878004,24.738557317170624,2.2843613321176686,2599.7403719733884,0.17684189952450907,0.10474519349752219,30.904676713187765,0.004285167525220314
